record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
seat-1780698,public_seat,Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Newquay Promenade, approximately 15m SE of Cargo, 55A Newquay Promenade, DOCKLANDS VIC 3008",-37.8153996,144.9416187,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1785417,public_seat,Seat - Metal Seat,Seat,Seat - Metal Seat,"Drummond Street between Faraday Street and Elgin Street, approximately 16m NW of 334-344 Drummond Street, CARLTON VIC 3053",-37.797924,144.9689253,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1786641,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Lincoln Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Lincoln Square,"Lincoln Square, approximately 31m NW of Ground 33 Lincoln Square South, CARLTON VIC 3053",-37.8029883,144.9622621,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1786642,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Lincoln Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Lincoln Square,"Lincoln Square, approximately 29m SW of Ground East Suite, 32 Lincoln Square North, CARLTON VIC 3053",-37.8017379,144.9624844,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1786644,public_seat,Seat - Unclassified - Lincoln Square,Seat,Seat - Unclassified - Lincoln Square,"Lincoln Square, approximately 23m North of 5 Lincoln Square South, CARLTON VIC 3053",-37.8031137,144.9632165,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1786651,public_seat,Seat - Unclassified - Lincoln Square,Seat,Seat - Unclassified - Lincoln Square,"Lincoln Square, approximately 31m East of Centre For Neural Engineering, 197-203 Bouverie Street, CARLTON VIC 3053",-37.8018564,144.9624028,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1796550,public_seat,Seat - Unclassified - East Melbourne Library,Seat,Seat - Unclassified - East Melbourne Library,"East Melbourne Library, approximately 8m NE of East Melbourne Library, 120-126 George Street, EAST MELBOURNE VIC 3002",-37.8152369,144.9864552,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1796723,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Fawkner Park,-37.8384007,144.9835119,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1796724,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Fawkner Park,-37.8385754,144.9841055,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1796725,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,"Fawkner Park, approximately 92m NW of Christ Church Vicarage, 61 Park Place, SOUTH YARRA VIC 3141",-37.8387912,144.9845957,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1796984,public_seat,Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Queen Street between A'Beckett Street and Franklin Street, approximately 22m South of Part Gnd & Mezz 400 Queen Street, MELBOURNE VIC 3000",-37.809557,144.9583623,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1798702,public_seat,Seat - Stainless Steel Bench - Docklands - Hub@Docklands,Seat,Seat - Stainless Steel Bench - Docklands - Hub@Docklands,"Waterview Walk between Bourke Street and Batmans Hill Drive, approximately 26m SW of Care Park, Carpark 8 Waterview Walk, DOCKLANDS VIC 3008",-37.8199085,144.9478016,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
